areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E06000023,"Bristol, City of",utla,2022-01-28,78.2,72.3,54.9
E06000023,"Bristol, City of",utla,2022-01-27,78.2,72.3,54.9
E06000023,"Bristol, City of",utla,2022-01-26,78.2,72.3,54.8
E06000023,"Bristol, City of",utla,2022-01-25,78.1,72.2,54.7
E06000023,"Bristol, City of",utla,2022-01-24,78.1,72.2,54.6
E06000023,"Bristol, City of",utla,2022-01-23,78.1,72.1,54.5
E06000023,"Bristol, City of",utla,2022-01-22,78.1,72.1,54.4
E06000023,"Bristol, City of",utla,2022-01-21,78.0,72.0,54.2
E06000023,"Bristol, City of",utla,2022-01-20,78.0,72.0,54.1
E06000023,"Bristol, City of",utla,2022-01-19,77.9,71.9,54.0
E06000023,"Bristol, City of",utla,2022-01-18,77.9,71.9,53.8
E06000023,"Bristol, City of",utla,2022-01-17,77.9,71.8,53.7
E06000023,"Bristol, City of",utla,2022-01-16,77.9,71.8,53.6
E06000023,"Bristol, City of",utla,2022-01-15,77.8,71.8,53.5
E06000023,"Bristol, City of",utla,2022-01-14,77.8,71.7,53.2
E06000023,"Bristol, City of",utla,2022-01-13,77.7,71.6,53.0
E06000023,"Bristol, City of",utla,2022-01-12,77.7,71.6,52.8
E06000023,"Bristol, City of",utla,2022-01-11,77.6,71.5,52.5
E06000023,"Bristol, City of",utla,2022-01-10,77.6,71.5,52.2
E06000023,"Bristol, City of",utla,2022-01-09,77.6,71.4,51.9
E06000023,"Bristol, City of",utla,2022-01-08,77.6,71.4,51.7
E06000023,"Bristol, City of",utla,2022-01-07,77.5,71.3,50.7
E06000023,"Bristol, City of",utla,2022-01-06,77.5,71.2,50.4
E06000023,"Bristol, City of",utla,2022-01-05,77.4,71.2,49.9
E06000023,"Bristol, City of",utla,2022-01-04,77.4,71.1,49.4
E06000023,"Bristol, City of",utla,2022-01-03,77.3,71.0,49.1
