areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E08000025,Birmingham,utla,2021-12-15,66.1,58.6,27.3
E08000025,Birmingham,utla,2021-12-14,66.0,58.5,26.4
E08000025,Birmingham,utla,2021-12-13,66.0,58.4,25.5
E08000025,Birmingham,utla,2021-12-12,65.9,58.4,24.9
E08000025,Birmingham,utla,2021-12-11,65.9,58.3,24.4
E08000025,Birmingham,utla,2021-12-10,65.8,58.2,23.8
E08000025,Birmingham,utla,2021-12-09,65.8,58.2,23.4
E08000025,Birmingham,utla,2021-12-08,65.7,58.1,23.0
E08000025,Birmingham,utla,2021-12-07,65.7,58.1,22.6
E08000025,Birmingham,utla,2021-12-06,65.7,58.0,22.3
E08000025,Birmingham,utla,2021-12-05,65.6,58.0,22.0
E08000025,Birmingham,utla,2021-12-04,65.6,57.9,21.8
E08000025,Birmingham,utla,2021-12-03,65.6,57.8,21.1
E08000025,Birmingham,utla,2021-12-02,65.5,57.8,20.7
E08000025,Birmingham,utla,2021-12-01,65.5,57.7,20.3
E08000025,Birmingham,utla,2021-11-30,65.4,57.7,19.8
E08000025,Birmingham,utla,2021-11-29,65.4,57.6,19.5
E08000025,Birmingham,utla,2021-11-28,65.4,57.6,19.2
E08000025,Birmingham,utla,2021-11-27,65.3,57.5,18.9
E08000025,Birmingham,utla,2021-11-26,65.3,57.4,18.3
E08000025,Birmingham,utla,2021-11-25,65.2,57.4,18.0
E08000025,Birmingham,utla,2021-11-24,65.2,57.3,17.6
E08000025,Birmingham,utla,2021-11-23,65.2,57.3,17.1
E08000025,Birmingham,utla,2021-11-22,65.1,57.2,16.8
E08000025,Birmingham,utla,2021-11-21,65.1,57.2,16.5
E08000025,Birmingham,utla,2021-11-20,65.1,57.2,16.3
E08000025,Birmingham,utla,2021-11-19,65.0,57.1,15.7
E08000025,Birmingham,utla,2021-11-18,65.0,57.0,15.4
E08000025,Birmingham,utla,2021-11-17,64.9,57.0,14.9
E08000025,Birmingham,utla,2021-11-16,64.9,56.9,14.5
E08000025,Birmingham,utla,2021-11-15,64.8,56.9,14.2
E08000025,Birmingham,utla,2021-11-14,64.8,56.8,13.8
E08000025,Birmingham,utla,2021-11-13,64.7,56.8,13.6
E08000025,Birmingham,utla,2021-11-12,64.7,56.7,13.1
E08000025,Birmingham,utla,2021-11-11,64.6,56.7,12.7
E08000025,Birmingham,utla,2021-11-10,64.6,56.6,12.3
E08000025,Birmingham,utla,2021-11-09,64.5,56.6,11.9
E08000025,Birmingham,utla,2021-11-08,64.4,56.5,11.5
E08000025,Birmingham,utla,2021-11-07,64.3,56.5,11.2
E08000025,Birmingham,utla,2021-11-06,64.3,56.4,11.0
E08000025,Birmingham,utla,2021-11-05,64.2,56.4,10.5
E08000025,Birmingham,utla,2021-11-04,64.1,56.3,10.3
E08000025,Birmingham,utla,2021-11-03,64.0,56.3,9.9
E08000025,Birmingham,utla,2021-11-02,63.9,56.2,9.6
E08000025,Birmingham,utla,2021-11-01,63.8,56.2,9.3
E08000025,Birmingham,utla,2021-10-31,63.7,56.1,9.1
E08000025,Birmingham,utla,2021-10-30,63.7,56.1,9.0
E08000025,Birmingham,utla,2021-10-29,63.6,56.1,8.7
E08000025,Birmingham,utla,2021-10-28,63.6,56.0,8.5
E08000025,Birmingham,utla,2021-10-27,63.5,56.0,8.2
E08000025,Birmingham,utla,2021-10-26,63.5,55.9,7.9
E08000025,Birmingham,utla,2021-10-25,63.4,55.9,7.7
E08000025,Birmingham,utla,2021-10-24,63.4,55.8,7.5
E08000025,Birmingham,utla,2021-10-23,63.3,55.8,7.4
E08000025,Birmingham,utla,2021-10-22,63.3,55.7,7.0
E08000025,Birmingham,utla,2021-10-21,63.2,55.6,6.7
E08000025,Birmingham,utla,2021-10-20,63.1,55.6,6.3
E08000025,Birmingham,utla,2021-10-19,63.0,55.5,6.0
E08000025,Birmingham,utla,2021-10-18,62.9,55.5,5.8
E08000025,Birmingham,utla,2021-10-17,62.8,55.5,5.6
E08000025,Birmingham,utla,2021-10-16,62.8,55.4,5.5
E08000025,Birmingham,utla,2021-10-15,62.7,55.4,5.1
E08000025,Birmingham,utla,2021-10-14,62.7,55.3,4.8
E08000025,Birmingham,utla,2021-10-13,62.6,55.2,4.5
E08000025,Birmingham,utla,2021-10-12,62.5,55.2,4.3
E08000025,Birmingham,utla,2021-10-11,62.4,55.1,4.0
E08000025,Birmingham,utla,2021-10-10,62.3,55.1,3.9
E08000025,Birmingham,utla,2021-10-09,62.3,55.0,3.8
E08000025,Birmingham,utla,2021-10-08,62.2,55.0,3.4
E08000025,Birmingham,utla,2021-10-07,62.1,54.9,3.2
E08000025,Birmingham,utla,2021-10-06,62.0,54.8,2.8
E08000025,Birmingham,utla,2021-10-05,62.0,54.8,2.5
E08000025,Birmingham,utla,2021-10-04,61.9,54.7,2.3
E08000025,Birmingham,utla,2021-10-03,61.8,54.7,2.1
E08000025,Birmingham,utla,2021-10-02,61.8,54.6,2.0
E08000025,Birmingham,utla,2021-10-01,61.7,54.6,1.7
E08000025,Birmingham,utla,2021-09-30,61.7,54.5,1.5
E08000025,Birmingham,utla,2021-09-29,61.6,54.4,1.2
E08000025,Birmingham,utla,2021-09-28,61.6,54.4,0.9
E08000025,Birmingham,utla,2021-09-27,61.6,54.3,0.7
E08000025,Birmingham,utla,2021-09-26,61.5,54.3,0.7
E08000025,Birmingham,utla,2021-09-25,61.5,54.2,0.6
E08000025,Birmingham,utla,2021-09-24,61.5,54.1,0.4
E08000025,Birmingham,utla,2021-09-23,61.4,54.0,0.3
E08000025,Birmingham,utla,2021-09-22,61.4,54.0,0.2
E08000025,Birmingham,utla,2021-09-21,61.3,53.9,0.1
E08000025,Birmingham,utla,2021-09-20,61.3,53.8,0.1
E08000025,Birmingham,utla,2021-09-19,61.2,53.7,0.1
E08000025,Birmingham,utla,2021-09-18,61.2,53.7,0.1
E08000025,Birmingham,utla,2021-09-17,61.1,53.6,0.1
E08000025,Birmingham,utla,2021-09-16,61.1,53.5,0.1
E08000025,Birmingham,utla,2021-09-15,61.0,53.3,
E08000025,Birmingham,utla,2021-09-14,61.0,53.2,
E08000025,Birmingham,utla,2021-09-13,60.9,53.1,
E08000025,Birmingham,utla,2021-09-12,60.9,53.1,
E08000025,Birmingham,utla,2021-09-11,60.8,53.0,
E08000025,Birmingham,utla,2021-09-10,60.8,52.9,
E08000025,Birmingham,utla,2021-09-09,60.7,52.7,
E08000025,Birmingham,utla,2021-09-08,60.7,52.6,
E08000025,Birmingham,utla,2021-09-07,60.6,52.5,
E08000025,Birmingham,utla,2021-09-06,60.6,52.4,
E08000025,Birmingham,utla,2021-09-05,60.6,52.3,
E08000025,Birmingham,utla,2021-09-04,60.5,52.2,
E08000025,Birmingham,utla,2021-09-03,60.4,52.0,
E08000025,Birmingham,utla,2021-09-02,60.4,51.8,
E08000025,Birmingham,utla,2021-09-01,60.3,51.7,
E08000025,Birmingham,utla,2021-08-31,60.2,51.5,
E08000025,Birmingham,utla,2021-08-30,60.1,51.4,
E08000025,Birmingham,utla,2021-08-29,60.1,51.3,
E08000025,Birmingham,utla,2021-08-28,60.1,51.2,
E08000025,Birmingham,utla,2021-08-27,60.0,51.0,
E08000025,Birmingham,utla,2021-08-26,59.9,50.7,
E08000025,Birmingham,utla,2021-08-25,59.8,50.5,
E08000025,Birmingham,utla,2021-08-24,59.7,50.3,
E08000025,Birmingham,utla,2021-08-23,59.6,50.1,
E08000025,Birmingham,utla,2021-08-22,59.6,49.9,
E08000025,Birmingham,utla,2021-08-21,59.5,49.7,
E08000025,Birmingham,utla,2021-08-20,59.4,49.5,
E08000025,Birmingham,utla,2021-08-19,59.3,49.2,
E08000025,Birmingham,utla,2021-08-18,59.2,49.0,
E08000025,Birmingham,utla,2021-08-17,59.1,48.7,
E08000025,Birmingham,utla,2021-08-16,59.1,48.5,
E08000025,Birmingham,utla,2021-08-15,59.0,48.3,
E08000025,Birmingham,utla,2021-08-14,59.0,48.2,
E08000025,Birmingham,utla,2021-08-13,58.9,47.9,
